cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1410,2,24890,40.72534405,-74.53932933,50.2,0.05,0.05,0,45.978,65.34,-0.12,0.11,-0.16,-1.6
1411,3,25100,40.72535418,-74.53929943,50.2,0.05,0.05,0,46.139,66.48,0.05,-0.03,0.15,-1.44
1412,4,25390,40.72536705,-74.53925891,50.3,0.05,0.05,0,46.411,68.03,-0.07,-0.27,0.09,-1.43
1413,5,25610,40.7253763,-74.53922814,50.4,0.05,0.05,0,46.608,69.15,0.1,0.2,0.07,-1.48
1414,6,25820,40.72538502,-74.53919699,50.5,0.05,0.05,0,46.912,70.3,-0.43,-0.05,-0.25,-1.43
1415,7,26040,40.7253933,-74.53916549,50.6,0.05,0.05,0,47.209,71.47,-0.02,-0.1,-0.11,-1.45
1416,8,26330,40.72540362,-74.53912303,50.7,0.05,0.05,0,47.309,72.82,0.39,-0.01,0.15,-1.39
1417,9,26620,40.72541333,-74.53908019,50.8,0.05,0.05,0,47.484,74.17,-0.3,0.56,0.38,-1.4
1418,10,26900,40.72542202,-74.53903666,50.9,0.05,0.05,0,47.453,75.77,-0.22,-0.15,0.37,-1.52
1419,11,27190,40.72542993,-74.53899294,51,0.05,0.05,0,47.485,77.06,0.42,-0.06,0.92,-1.32
1420,12,27480,40.72543718,-74.5389491,51.2,0.05,0.05,0,47.239,78.29,0.11,-0.28,0.16,-1.39
1421,13,27700,40.72544214,-74.53891624,51.2,0.05,0.05,0,47.24,79.07,0.41,-0.31,0.97,-1.49
1422,14,27910,40.7254468,-74.53888341,51.3,0.05,0.05,0,47.152,79.63,0.36,-0.76,0.81,-1.6
1423,15,28130,40.72545131,-74.53885069,51.4,0.05,0.05,0,46.762,79.79,-0.16,-0.72,0.54,-1.59
1424,16,28420,40.72545718,-74.53880724,51.5,0.05,0.05,0,46.528,79.98,0.17,-0.74,0.96,-1.86
1425,17,28630,40.72546149,-74.53877481,51.6,0.05,0.05,0,46.309,80.16,-0.02,-0.36,0.33,-1.69
1426,18,28850,40.72546569,-74.53874245,51.6,0.05,0.05,0,46.198,80.31,0.08,-0.24,0.21,-1.57
1427,19,29060,40.72546986,-74.53871029,51.7,0.05,0.05,0,45.901,80.42,0.09,0.19,0.13,-1.89
1428,20,29350,40.72547527,-74.53866756,51.8,0.05,0.05,0,45.675,80.55,0.08,-0.43,-0.13,-1.72
